Timestamp,Emotion
2025-06-17 06:27:20,neutral
2025-06-17 06:27:20,sad
2025-06-17 06:27:20,neutral
2025-06-17 06:27:21,neutral
2025-06-17 06:27:21,neutral
2025-06-17 06:27:21,sad
2025-06-17 06:27:21,sad
2025-06-17 06:27:22,happy
2025-06-17 06:27:22,fear
2025-06-17 06:27:22,fear
2025-06-17 06:27:22,sad
2025-06-17 06:27:22,sad
2025-06-17 06:27:23,sad
2025-06-17 06:27:23,sad
2025-06-17 06:27:23,sad
2025-06-17 06:27:23,fear
2025-06-17 06:27:24,sad
2025-06-17 06:27:24,sad
2025-06-17 06:27:24,neutral
2025-06-17 06:27:24,neutral
2025-06-17 06:27:24,neutral
2025-06-17 06:27:25,neutral
2025-06-17 06:27:25,sad
2025-06-17 06:27:25,neutral
2025-06-17 06:27:25,neutral
2025-06-17 06:27:26,neutral
2025-06-17 06:27:26,neutral
2025-06-17 06:27:26,sad
2025-06-17 06:27:26,neutral
2025-06-17 06:27:26,neutral
2025-06-17 06:27:27,fear
2025-06-17 06:27:27,sad
2025-06-17 06:27:27,neutral
2025-06-17 06:27:27,neutral
2025-06-17 06:27:28,neutral
2025-06-17 06:27:28,neutral
2025-06-17 06:27:28,neutral
2025-06-17 06:27:28,fear
2025-06-17 06:27:28,sad
2025-06-17 06:27:29,fear
2025-06-17 06:27:29,neutral
2025-06-17 06:27:29,neutral
2025-06-17 06:27:29,happy
2025-06-17 06:27:29,neutral
2025-06-17 06:27:30,neutral
